Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Curve Quality,Result Quality Issues
A1,false,Input,atpE,Unknown,VIC-NFQ-MGB,23.674463911830124,0.9383966947594075,2.689280933065133,Amp,false,7811.974972270511,7,18,,
A2,false,Input,atpE,Unknown,VIC-NFQ-MGB,23.887223102247418,0.9481185063700335,2.687892114108656,Amp,false,7811.974972270511,12,20,,
A3,false,BB_culture_swab,atpE,Unknown,VIC-NFQ-MGB,21.284404161422806,0.9153151173553907,2.6849834935025325,Amp,false,7811.974972270511,6,17,,
A4,false,BB_culture_swab,atpE,Unknown,VIC-NFQ-MGB,21.293735938032953,0.8961746205597237,2.680239090397736,Amp,false,7811.974972270511,12,17,,
A5,false,TL_sputumDTT,atpE,Unknown,VIC-NFQ-MGB,26.243162941811647,0.560898455250249,2.071205732899958,No Amp,false,7811.974972270511,16,20,,
A6,false,TL_sputumDTT,atpE,Unknown,VIC-NFQ-MGB,25.688972558803833,0.5298695364463255,2.1831811225758764,No Amp,false,7811.974972270511,16,21,,
B1,false,Input,atpE,Unknown,VIC-NFQ-MGB,23.793784580591193,0.9228040940985685,2.698757992306802,Amp,false,7811.974972270511,9,20,,
B2,false,Input,atpE,Unknown,VIC-NFQ-MGB,23.81437110516876,0.9105256230630001,2.683805543627631,Amp,false,7811.974972270511,14,20,,
B3,false,BB_culture_swab,atpE,Unknown,VIC-NFQ-MGB,20.312088633468193,0.9094302455439213,2.6636486332892595,Amp,false,7811.974972270511,7,16,,
B4,false,BB_culture_swab,atpE,Unknown,VIC-NFQ-MGB,20.320221598687887,0.936726272281359,2.659361639657864,Amp,false,7811.974972270511,10,16,,
B5,false,TL_sputumDTT,atpE,Unknown,VIC-NFQ-MGB,25.328610695423514,0.5399407518529187,2.1278442523402443,No Amp,false,7811.974972270511,12,17,,
B6,false,TL_sputumDTT,atpE,Unknown,VIC-NFQ-MGB,25.79587599107286,0.5743079896146512,2.1448573442824435,No Amp,false,7811.974972270511,16,20,,
C1,false,BB_pbs,atpE,Unknown,VIC-NFQ-MGB,18.733329082783875,0.8409206463942347,2.704412028406676,Amp,false,7811.974972270511,7,14,,
C2,false,BB_pbs,atpE,Unknown,VIC-NFQ-MGB,18.720668061523213,0.8751539520250108,2.684674631497119,Amp,false,7811.974972270511,7,15,,
C3,false,BB_sputum_swab,atpE,Unknown,VIC-NFQ-MGB,24.999462278619454,0.8634687617825683,2.377933677728157,Amp,false,7811.974972270511,12,20,,
C4,false,BB_sputum_swab,atpE,Unknown,VIC-NFQ-MGB,25.590370564282935,0.7658190172431018,2.337359113498048,Amp,false,7811.974972270511,16,21,,
C5,false,TL_culture_swab,atpE,Unknown,VIC-NFQ-MGB,21.7271388571303,0.9265388194982139,2.637518909205429,Amp,false,7811.974972270511,8,17,,
C6,false,TL_culture_swab,atpE,Unknown,VIC-NFQ-MGB,21.786152002776497,0.9301909362375953,2.630916661752172,Amp,false,7811.974972270511,8,17,,
D1,false,BB_pbs,atpE,Unknown,VIC-NFQ-MGB,18.877916787898137,0.8386105806528455,2.6958619331358156,Amp,false,7811.974972270511,6,15,,
D2,false,BB_pbs,atpE,Unknown,VIC-NFQ-MGB,18.67504854894456,0.8438363672998637,2.6918437968609856,Amp,false,7811.974972270511,6,15,,
D3,false,BB_sputum_swab,atpE,Unknown,VIC-NFQ-MGB,24.436057464735626,0.8805333114435967,2.368334485718965,Amp,false,7811.974972270511,12,19,,
D4,false,BB_sputum_swab,atpE,Unknown,VIC-NFQ-MGB,24.838878618079335,0.7550931515393695,2.3505367686151533,Amp,false,7811.974972270511,15,19,,
D5,false,TL_culture_swab,atpE,Unknown,VIC-NFQ-MGB,21.132332209909833,0.9322523594850158,2.6304785781111457,Amp,false,7811.974972270511,11,17,,
D6,false,TL_culture_swab,atpE,Unknown,VIC-NFQ-MGB,21.20781748624146,0.9286898918987203,2.6271448915011364,Amp,false,7811.974972270511,8,17,,
E1,false,BB_sputum,atpE,Unknown,VIC-NFQ-MGB,25.954453817749986,0.5923660619096479,2.262361306409677,Amp,false,7811.974972270511,15,22,,
E2,false,BB_sputum,atpE,Unknown,VIC-NFQ-MGB,25.894442594228032,0.6222799676359884,2.3057380964551166,Amp,false,7811.974972270511,15,21,,
E3,false,TL_pbs,atpE,Unknown,VIC-NFQ-MGB,19.888007125262554,0.9195733728857104,2.654047242566653,Amp,false,7811.974972270511,6,15,,
E4,false,TL_pbs,atpE,Unknown,VIC-NFQ-MGB,20.03739575733743,0.9370310569806536,2.6363435817947103,Amp,false,7811.974972270511,6,16,,
E5,false,TL_sputum_swab,atpE,Unknown,VIC-NFQ-MGB,26.368406467625704,0.677443745467912,2.2130188864105067,Inconclusive,false,7811.974972270511,14,21,,
E6,false,TL_sputum_swab,atpE,Unknown,VIC-NFQ-MGB,25.375110733792233,0.8340064787254776,2.3643551525293502,Amp,false,7811.974972270511,14,21,,
F1,false,BB_sputum,atpE,Unknown,VIC-NFQ-MGB,25.50385043442457,0.7737695344013911,2.3803472106839263,Amp,false,7811.974972270511,16,20,,
