Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Curve Quality,Result Quality Issues
A1,false,BB,atpE,Unknown,VIC-NFQ-MGB,27.248695531731627,0.8950550511862104,2.698135153293229,Amp,false,17082.12544642856,10,21,,
A2,false,BB,atpE,Unknown,VIC-NFQ-MGB,27.201202937617644,0.9278672078366836,2.700167358524842,Amp,false,17082.12544642856,9,22,,
A3,false,BB_4,atpE,Unknown,VIC-NFQ-MGB,27.01742630198565,0.8934173617704866,2.6884345817762187,Amp,false,17082.12544642856,11,22,,
A4,false,BB_4,atpE,Unknown,VIC-NFQ-MGB,27.356073152815945,0.8532849751977292,2.6804761293476034,Amp,false,17082.12544642856,12,22,,
A5,false,TL_2,atpE,Unknown,VIC-NFQ-MGB,27.890811025907077,0.9207153032395046,2.5774876204983266,Amp,false,17082.12544642856,6,20,,
A6,false,TL_2,atpE,Unknown,VIC-NFQ-MGB,27.74053878246511,0.8856321948610869,2.672068580650808,Amp,false,17082.12544642856,9,22,,
B1,false,BB,atpE,Unknown,VIC-NFQ-MGB,28.239624352117723,0.8792607390718266,2.6880352871524007,Amp,false,17082.12544642856,11,23,,
B2,false,BB,atpE,Unknown,VIC-NFQ-MGB,27.897192351717166,0.8987617731070913,2.6817039138049448,Amp,false,17082.12544642856,12,22,,
B3,false,BB_4,atpE,Unknown,VIC-NFQ-MGB,28.09187974415334,0.858609967729589,2.6864878868942412,Amp,false,17082.12544642856,13,23,,
B4,false,BB_4,atpE,Unknown,VIC-NFQ-MGB,27.4191685023993,0.908516844675699,2.660577793669042,Amp,false,17082.12544642856,12,21,,
B5,false,TL_2,atpE,Unknown,VIC-NFQ-MGB,26.76725941143423,0.855823961191745,2.662671516202697,Amp,false,17082.12544642856,16,21,,
B6,false,TL_2,atpE,Unknown,VIC-NFQ-MGB,27.253231627437394,0.9380806177099691,2.646594356171287,Amp,false,17082.12544642856,14,21,,
C1,false,BB_1,atpE,Unknown,VIC-NFQ-MGB,24.762134425284927,0.8782481266359374,2.7034117485421962,Amp,false,17082.12544642856,16,20,,
C2,false,BB_1,atpE,Unknown,VIC-NFQ-MGB,24.60564415835001,0.8965057108963822,2.697074857469522,Amp,false,17082.12544642856,10,19,,
C3,false,BB_5,atpE,Unknown,VIC-NFQ-MGB,28.420141921444404,0.8520455097862798,2.662659196368897,Amp,false,17082.12544642856,13,23,,
C4,false,BB_5,atpE,Unknown,VIC-NFQ-MGB,27.760057432321467,0.8563413717604873,2.6562030353323385,Amp,false,17082.12544642856,15,22,,
C5,false,TL_3,atpE,Unknown,VIC-NFQ-MGB,27.866367019519544,0.8589622761454886,2.633318281842541,Amp,false,17082.12544642856,13,23,,
C6,false,TL_3,atpE,Unknown,VIC-NFQ-MGB,28.25484505155,0.9196064596152159,2.644515914047375,Amp,false,17082.12544642856,10,22,,
D1,false,BB_1,atpE,Unknown,VIC-NFQ-MGB,25.076817071439066,0.8924217876695202,2.7156580548944573,Amp,false,17082.12544642856,12,21,,
D2,false,BB_1,atpE,Unknown,VIC-NFQ-MGB,24.93425508901405,0.8814548698022744,2.7058896115372546,Amp,false,17082.12544642856,12,21,,
D3,false,BB_5,atpE,Unknown,VIC-NFQ-MGB,28.741637120338986,0.8514454570911126,2.612596145409526,Amp,false,17082.12544642856,18,23,,
D4,false,BB_5,atpE,Unknown,VIC-NFQ-MGB,28.885445844908915,0.8268378430560797,2.582865121055037,Amp,false,17082.12544642856,12,24,,
