Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
G10,false,,atpe,VIC,Unknown,Undetermined,
G11,false,,atpe,VIC,Unknown,Undetermined,
G12,false,,atpe,VIC,Unknown,Undetermined,
H1,false,DNASD_9,atpe,VIC,Standard,26.86445679713757,19.9
H2,false,DNASD_9,atpe,VIC,Standard,27.05105115806594,19.9
H3,false,DNASD_9,atpe,VIC,Standard,27.032499874109284,19.9
H4,false,DNASD_15,atpe,VIC,Standard,35.930946844056606,0.3109375
H5,false,DNASD_15,atpe,VIC,Standard,35.82731930599559,0.3109375
H6,false,DNASD_15,atpe,VIC,Standard,35.90712316877365,0.3109375
H7,false,DNASD_12,atpe,VIC,Standard,32.621434415194855,2.4875
H8,false,DNASD_12,atpe,VIC,Standard,32.598591843589375,2.4875
H9,false,DNASD_12,atpe,VIC,Standard,32.96607840127858,2.4875
H10,false,,atpe,VIC,Unknown,Undetermined,
H11,false,,atpe,VIC,Unknown,Undetermined,
H12,false,,atpe,VIC,Unknown,Undetermined,
