Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Curve Quality,Result Quality Issues
A1,false,Input,atpE,Unknown,VIC-NFQ-MGB,32.16632247788781,0.7762786089253513,2.446584198277255,Inconclusive,false,37281.211506136,16,25,,
A2,false,Input,atpE,Unknown,VIC-NFQ-MGB,32.47775392534364,0.8078738829404493,2.407300241556847,Amp,false,37281.211506136,15,25,,
A3,false,Input,atpE,Unknown,VIC-NFQ-MGB,32.877299445865276,0.8022079907542258,2.371802157697698,Inconclusive,false,37281.211506136,18,27,,
A4,false,BB_200,atpE,Unknown,VIC-NFQ-MGB,26.11418606892188,0.9322911961698905,2.690330483633679,Amp,false,37281.211506136,8,19,,
A5,false,BB_200,atpE,Unknown,VIC-NFQ-MGB,27.653614587866365,0.9410860867802465,2.5796891192728593,Amp,false,37281.211506136,8,20,,
A6,false,BB_200,atpE,Unknown,VIC-NFQ-MGB,26.855495106145398,0.9422275478931287,2.6757058729911174,Amp,false,37281.211506136,9,20,,
A7,false,TL_zirc,atpE,Unknown,VIC-NFQ-MGB,29.21005455409381,0.9296023348086613,2.666882283181572,Amp,false,37281.211506136,10,22,,
A8,false,TL_zirc,atpE,Unknown,VIC-NFQ-MGB,28.850890861152877,0.9138021274211857,2.695217795468554,Amp,false,37281.211506136,10,22,,
A9,false,TL_zirc,atpE,Unknown,VIC-NFQ-MGB,28.869283875662155,0.911692561965538,2.6825014090599053,Amp,false,37281.211506136,12,22,,
B1,false,Input,atpE,Unknown,VIC-NFQ-MGB,32.723045948965485,0.7061164942584076,2.3931101576684566,Inconclusive,false,37281.211506136,20,26,,
B2,false,Input,atpE,Unknown,VIC-NFQ-MGB,32.27990225541478,0.7647084994213562,2.432413865677908,Inconclusive,false,37281.211506136,18,25,,
B3,false,Input,atpE,Unknown,VIC-NFQ-MGB,32.32643258716735,0.802724282012692,2.417141836721593,Amp,false,37281.211506136,16,24,,
B4,false,TL_both,atpE,Unknown,VIC-NFQ-MGB,26.97195370548762,0.9319269166717543,2.675160631499215,Amp,false,37281.211506136,8,20,,
